2015-06-25-12-00-00 2015-06-25-15-00-00
2015-06-26-11-50-00 2015-06-26-12-15-00
2015-07-11-08-00-00 2015-07-11-13-00-00
2015-07-12-07-45-00 2015-07-12-13-00-00
2015-07-31-00-00-00 2015-08-16-00-00-00
2015-10-20-01-10-00 2015-10-20-01-25-00
2015-10-21-13-50-00 2015-10-21-14-15-00
2015-10-21-16-20-00 2015-10-21-19-30-00
2015-10-21-20-20-00 2015-10-21-21-00-00
2015-10-22-01-50-00 2015-10-22-02-30-00
2015-10-24-01-30-00 2015-10-24-02-45-00
2015-10-24-04-00-00 2015-10-24-04-45-00
2015-10-24-14-50-00 2015-10-24-15-20-00
2015-11-22-12-50-00 2015-11-22-15-10-00
2015-11-23-09-10-00 2015-11-23-11-30-00
2015-11-23-23-20-00 2015-11-24-01-20-00
2015-11-27-17-10-00 2015-11-27-18-50-00
2015-11-28-04-30-00 2015-11-28-05-30-00
2015-11-28-08-20-00 2015-11-28-08-50-00
2015-11-28-10-00-00 2015-11-28-11-20-00
2015-11-29-01-10-00 2015-11-29-02-00-00
2015-11-29-08-20-00 2015-11-29-08-50-00
2015-11-30-20-50-00 2015-11-30-21-30-00
2015-12-01-05-10-00 2015-12-01-07-40-00
2015-12-06-13-10-00 2015-12-06-14-00-00
2016-01-06-12-50-00 2016-01-06-14-00-00
2016-01-07-01-10-00 2016-01-07-01-40-00
2016-01-07-18-40-00 2016-01-07-19-40-00
2016-01-13-11-30-00 2016-01-13-12-10-00
2016-01-13-16-10-00 2016-01-13-17-00-00
2016-01-14-02-30-00 2016-01-14-21-00-00
2016-01-15-01-10-00 2016-01-15-02-50-00
2016-01-15-08-40-00 2016-01-15-15-20-00
2016-01-16-06-00-00 2016-01-16-07-10-00
2016-01-16-09-50-00 2016-01-16-15-20-00
2016-01-19-10-50-00 2016-01-19-11-30-00
2016-01-19-15-30-00 2016-01-19-22-00-00
2016-01-19-23-40-00 2016-01-20-04-30-00
2016-01-20-21-00-00 2016-01-22-09-00-00
2016-02-11-20-40-00 2016-02-11-21-30-00
2016-02-13-13-00-00 2016-02-13-15-00-00
2016-02-13-21-00-00 2016-02-14-03-00-00
2016-02-14-00-10-00 2016-02-14-01-10-00
2016-02-20-10-10-00 2016-02-20-10-45-00
2016-02-20-19-50-00 2016-02-20-20-35-00
2016-03-19-13-00-00 2016-03-19-14-10-00
2016-05-31-05-00-00 2016-05-31-05-30-00
2016-06-15-12-00-00 2016-07-20-12-00-00
2016-06-17-15-00-00 2016-06-17-17-40-00
2016-06-19-14-00-00 2016-06-19-15-00-00
2016-08-27-14-00-00 2016-08-27-14-45-00
2016-09-19-06-50-00 2016-09-19-07-00-00
2016-09-19-08-08-00 2016-09-19-08-18-00
2016-10-04-16-40-00 2016-10-05-10-30-00
2016-10-07-15-00-00 2016-10-07-18-00-00
2016-10-10-04-00-00 2016-10-10-04-40-00
2016-10-11-02-30-00 2016-10-12-21-00-00
2017-02-02-15-10-00 2017-02-02-17-30-00
2017-02-03-19-00-00 2017-02-04-02-50-00
2017-02-04-18-20-00 2017-02-05-20-00-00
2017-05-12-10-00-00 2017-05-16-10-00-00
